z lnDa lnH lnfs8 lnbs8 Psz: marg-errors
0.7	7.944782e-03	9.997590e-03	1.496124e-02	8.581684e-03	1.510869e+01
0.8	6.792028e-03	8.647442e-03	1.292743e-02	7.332228e-03	1.258348e+01
0.9	6.546903e-03	8.234876e-03	1.194821e-02	7.117024e-03	1.092848e+01
1.0	6.399109e-03	8.020966e-03	1.169220e-02	6.962693e-03	1.022737e+01
1.1	6.278073e-03	7.939504e-03	1.212992e-02	6.784590e-03	1.039272e+01
1.2	6.295908e-03	7.948901e-03	1.235481e-02	6.796219e-03	1.016495e+01
1.3	6.355553e-03	8.017418e-03	1.272213e-02	6.848282e-03	1.006584e+01
1.4	6.662757e-03	8.322162e-03	1.329261e-02	7.184250e-03	1.003468e+01
1.5	7.023551e-03	8.781900e-03	1.466251e-02	7.526674e-03	1.081104e+01
1.6	7.635647e-03	9.629530e-03	1.741428e-02	8.084216e-03	1.283787e+01
1.7	9.412093e-03	1.152880e-02	2.090488e-02	9.957969e-03	1.499829e+01
1.8	9.910497e-03	1.203167e-02	2.188114e-02	1.048500e-02	1.503315e+01
1.9	1.300314e-02	1.552049e-02	2.967183e-02	1.362027e-02	2.076491e+01
2.0	2.001076e-02	2.287483e-02	4.410523e-02	2.087507e-02	3.134798e+01
